,award_id_fain,recipient_name,match_name,prime_award_base_transaction_description,fy,total_funding_amount,match_score_name,match_amount,match_score_amount,total_match_score
2441,23OMDGCA0105,BRINDEIRO & DANBOM DAIRY FARMS,Alexandre Dairy,"THIS GRANT SUPPORTS THE COSTS INCURRED TO IMPLEMENT MEASURES TO RESPOND TO THE NOVEL CORONAVIRUS 2019 (COVID-19), WHICH MAY INCLUDE WORKPLACE SAFETY, MARKET PIVOTS, RETROFITTING FACILITIES, TRANSPORTATION, WORKER HOUSING, AND MEDICAL EXPENSES. IT PROVIDES NEEDED RELIEF TO THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS FOR THEIR COSTS INCURRED BETWEEN JANUARY 27, 2020, THE DATE UPON WHICH THE PUBLIC HEALTH EMERGENCY WAS DECLARED BY THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICE (HHS) UNDER SECTION 319 OF THE PUBLIC HEALTH SERVICE ACT, AND DECEMBER 31, 2021. BENEFICIARIES INCLUDE THE EMPLOYEES OF THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS.",2022,20000.0,86,2054000.0,88,174
2219,23OMDGTX0056,TIDAL FOODS PBC,Armagh Fine Foods LLC dba Armagh Creamery,"THIS GRANT SUPPORTS THE COSTS INCURRED TO IMPLEMENT MEASURES TO RESPOND TO THE NOVEL CORONAVIRUS 2019 (COVID-19), WHICH MAY INCLUDE WORKPLACE SAFETY, MARKET PIVOTS, RETROFITTING FACILITIES, TRANSPORTATION, WORKER HOUSING, AND MEDICAL EXPENSES. IT PROVIDES NEEDED RELIEF TO THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS FOR THEIR COSTS INCURRED BETWEEN JANUARY 27, 2020, THE DATE UPON WHICH THE PUBLIC HEALTH EMERGENCY WAS DECLARED BY THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICE (HHS) UNDER SECTION 319 OF THE PUBLIC HEALTH SERVICE ACT, AND DECEMBER 31, 2021. BENEFICIARIES INCLUDE THE EMPLOYEES OF THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS.",2022,20000.0,86,2054000.0,88,174
7969,23OMDGOR0075,REGION FIVE DEVELOPMENT COMMISSION,Cascade Pacific Resource Conservation and Development,"THIS PROJECT WILL ACCELERATE THE TRANSFORMATION OF REGIONAL FOOD SYSTEMS, INCREASING ECONOMIC ACTIVITY FOCUSED ON EXPANSION OF SMALL MID-SIZED AGRICULTURAL VALUE CHAINS IN NORTH DAKOTA, SOUTH DAKOTA, AND MINNESOTA THROUGH THE ESTABLISHMENT OF MINKOTA USD",2023,15000000.0,86,1500000.0,95,181
6620,23OMDGCT0003,UNITED NEIGHBORHOOD CENTERS OF NORTHEASTERN PENNSYLVANIA,Connecticut Department of Agriculture,"THIS GRANT SUPPORTS THE COSTS INCURRED TO IMPLEMENT MEASURES TO RESPOND TO THE NOVEL CORONAVIRUS 2019 (COVID-19), WHICH MAY INCLUDE WORKPLACE SAFETY, MARKET PIVOTS, RETROFITTING FACILITIES, TRANSPORTATION, WORKER HOUSING, AND MEDICAL EXPENSES. IT PROVIDES NEEDED RELIEF TO THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS FOR THEIR COSTS INCURRED BETWEEN JANUARY 27, 2020, THE DATE UPON WHICH THE PUBLIC HEALTH EMERGENCY WAS DECLARED BY THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICE (HHS) UNDER SECTION 319 OF THE PUBLIC HEALTH SERVICE ACT, AND DECEMBER 31, 2021. BENEFICIARIES INCLUDE THE EMPLOYEES OF THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS.",2022,10000.0,86,100000.0,93,179
732,23OMDGWA0085,RIVER VALLEY ORGANICS,George J Otte DBA River Valley Organics,"SMALL ORGANIC GROWERS OFTEN HAVE DIFFICULTY GETTING THEIR FRUIT PACKED AND INTO THE MARKETPLACE BY LARGE PACKING WAREHOUSES. AFTER YEARS OF STRUGGLING FINANCIALLY, WE REALIZED THAT THE ONLY WAY FOR OUR FARM TO BE SUSTAINABLE WAS TO PACK AND SELL OUR OWN FRUIT. SEVERAL YEARS AGO OUR BUYERS ASKED US TO INCREASE OUR PRODUCTION. WE HAVE DONE SO, BUT ARE NOW FACING A DILEMMA IN TERMS OF BEING ABLE TO PACK ENOUGH FRUIT DAILY TO MEET THE DEMAND. WE ALSO WOULD LIKE TO BE ABLE TO OFFER PACKING SERVICES TO OTHER SMALL GROWERS. PURCHASING A SMALL APPLE PACKING LINE WILL ALLOW US TO PACK 600 BOXES PER DAY (ACCORDING TO MANUFACTURER DATA), RATHER THAN THE MAXIMUM 150 PER DAY CURRENTLY POSSIBLE BY HAND-WIPING EACH PIECE OF FRUIT, SO WE WILL BE PAYING THE SAME AMOUNT ON LABOR WHILE INCREASING OUR OUTPUT X 4. IT WILL ENABLE EMPLOYEES TO RETAIN THEIR JOBS WHILE PERFORMING LESS PHYSICALLY DEMANDING TASKS. WE, AS WELL AS THE OTHER FARMERS WHOSE FRUIT WE WILL BE ABLE TO PACK, WILL HAVE EXPANDED ACCESS TO ORGANIC MARKETS DUE TO A LARGER, MORE TIMELY INVENTORY OF PACKED FRUIT TO SELL.",2024,15510.0,90,15510.0,100,190
7967,23OMDGMI0016,HAWAII GOOD FOOD ALLIANCE,Giovanni's Appetizing Food Products INC.,"THE ISLANDS AND REMOTE AREAS RFBC AIMS TO SERVE AS THE CORNERSTONE OF USDAS DEVELOPMENT OF LOCAL AND REGIONAL SUPPLY CHAINS FOR THE LOCAL FARMING COMMUNITIES OF THE PACIFIC ISLANDS OF HAWAII, GUAM, NORTHERN MARIANA ISLANDS, AMERICAN SAMOA, THE STATE OF AL",2023,30000000.0,86,3000000.0,95,181
7833,,KEENE GARLIC,Great Lakes Garlic Farm,"THIS GRANT SUPPORTS THE COSTS INCURRED TO IMPLEMENT MEASURES TO RESPOND TO THE NOVEL CORONAVIRUS 2019 (COVID-19), WHICH MAY INCLUDE WORKPLACE SAFETY, MARKET PIVOTS, RETROFITTING FACILITIES, TRANSPORTATION, WORKER HOUSING, AND MEDICAL EXPENSES. IT PROVIDES NEEDED RELIEF TO THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS FOR THEIR COSTS INCURRED BETWEEN JANUARY 27, 2020, THE DATE UPON WHICH THE PUBLIC HEALTH EMERGENCY WAS DECLARED BY THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICE (HHS) UNDER SECTION 319 OF THE PUBLIC HEALTH SERVICE ACT, AND DECEMBER 31, 2021. BENEFICIARIES INCLUDE THE EMPLOYEES OF THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS.",2022,19999.0,86,99999.0,86,172
1806,23OMDGCA0070,CONFEDERATED TRIBES AND BANDS OF THE YAKAMA NATION,Heal the Earth,<<SYBASE_LR_DATAACTD2_PROD_01_LR_DATAACTD2_PROD_01_LR_DATAACTD2_PROD_01_59_104_8_94_LONG_USDAAM00_12K2_ASSISTANCE_20231006071753_CSV.TXT>>,2022,1500000.0,86,1500000.0,100,186
1643,23OMDGIA0088,ELLSWORTH COOPERATIVE CREAMERY,"Kalona Creamery, LLC","THE PURPOSE OF THIS AGREEMENT IS TO DISTRIBUTE PANDEMIC MARKET VOLATILITY ASSISTANCE PROGRAM MONIES TO DAIRY FARMERS WHO RECEIVED A LOWER VALUE DUE TO MARKET ABNORMALITIES CAUSED BY THE PANDEMIC AND ENSUING FEDERAL POLICIES. RECIPIENTS WILL DISBURSE PMVAP MONIES TO ELIGIBLE PRODUCERS.  IN ADDITIONAL, RECIPIENTS MUST OBTAIN ADJUSTED GROSS INCOME ATTESTATIONS FROM ELIGIBLE PRODUCERS, ISSUE 1099-MISC TO EACH PRODUCER REFLECTING THEIR PMVAP PAYMENT, PROVIDE DOCUMENTATION PAYMENTS WERE MADE IN ACCORDANCE TO PROGRAM RULES, AND PROVIDE DAIRY POLICY EDUCATION TO ELIGIBLE PRODUCERS. RECIPIENTS WILL DISBURSE ALL PMVAP MONIES TO ELIGIBLE PRODUCERS, PROVIDE AND DOCUMENT DAIRY POLICY EDUCATION EFFORTS, AND BE SUBJECT TO PAYMENT VERIFICATION BY USDA STAFF. DAIRY FARMERS WHOSE MILK WE MARKETED TO A FEDERAL MILK MARKETING ORDER REGULATED HANDLER DURING JULY THROUGH DECEMBER 2020 ARE THE INTENDED BENEFICIARIES. THERE ARE NO SUBRECIPIENT ACTIVITIES.",2023,0.0,86,950000.0,90,176
4129,23OMDGWA0071,ANGELA GRACE BRITT,"Lukens Farms, Inc. DBA Grace Harbor Farms","THIS GRANT SUPPORTS THE COSTS INCURRED TO IMPLEMENT MEASURES TO RESPOND TO THE NOVEL CORONAVIRUS 2019 (COVID-19), WHICH MAY INCLUDE WORKPLACE SAFETY, MARKET PIVOTS, RETROFITTING FACILITIES, TRANSPORTATION, WORKER HOUSING, AND MEDICAL EXPENSES. IT PROVIDES NEEDED RELIEF TO THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS FOR THEIR COSTS INCURRED BETWEEN JANUARY 27, 2020, THE DATE UPON WHICH THE PUBLIC HEALTH EMERGENCY WAS DECLARED BY THE U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICE (HHS) UNDER SECTION 319 OF THE PUBLIC HEALTH SERVICE ACT, AND DECEMBER 31, 2021. BENEFICIARIES INCLUDE THE EMPLOYEES OF THE FOOD PROCESSORS, DISTRIBUTORS, FARMERS MARKETS, AND PRODUCERS.",2022,20000.0,86,2054000.0,88,174
