awardee_name,award_amount,original_description,updated_description
Rumiano Cheese Company,3000000.0,"Dairy is the largest organic commodity in the United States, with 1.6 billion in annual sales, yet organic milk represents just 2 % of the nations dairy production and is declining. USDA’s Organic Dairy Market News reports that year-to-date sales of organic milk products are down 1.6 % from the prior year. As organic dairy production costs have increased in recent years, the price premium of fluid organic milk over conventional milk has eroded, leaving organic dairy producers, most of them small family farms, with shrinking on-farm profits that threaten their livelihood. To address this challenging issue, Rumiano Cheese Company, seeks to expand in-house processing capacity to make and market innovative, high-demand organic dairy products in channels that offer a higher price premium over fluid. Activities to be performed will include 1) installing a state-of-the-art processing line to upcycle organic cheese trim into value-added sauces, dips and spreads; 2) acquiring additional equipment to create artisanal specialty cheese wheels inhouse; and 3) expanding marketing, sales, and innovation to gain retail access and build consumer demand for the expanded volume produced through this project. This venture’s goals are to process an additional 32,372,700 pounds of fluid milk and cheese trim, generating approximately $31.5 million in sales revenue and benefiting 27 Northern California pasture-based organic dairy producers during the project period.","Rumiano Cheese Company is undertaking a strategic project to expand its in-house processing capabilities and market a range of innovative organic dairy products, addressing a critical need within the organic dairy sector. The core of this venture involves installing a state-of-the-art processing line specifically designed to upcycle organic cheese trim into high-demand sauces, dips, and spreads, alongside the acquisition of additional equipment to facilitate the creation of artisanal specialty cheese wheels entirely within the company’s operations. This initiative aims to process an additional 32,372,700 pounds of fluid milk and cheese trim, generating an anticipated $31.5 million in sales revenue. The project will directly benefit 27 Northern California pasture-based organic dairy producers, providing a new sales channel for their existing production. Furthermore, the expanded product line will target consumer markets, capitalizing on the premium pricing potential of these value-added organic offerings. The success of this project hinges on establishing retail access and fostering increased consumer demand for the increased volume of products produced. Ultimately, Rumiano Cheese Company’s efforts will strengthen the market position for these farmers and processors, representing a significant opportunity for the stakeholders involved."
Craig Schmitt,98283.0,"The Schmitt’s Farm converted to 100% organic in 2018. The farm grows spring wheat, hulless oats, lentils, yellow peas, chickpeas, hemp grain, canola, alfalfa, and flax. It has a crop rotation of 25% cereal grains (wheat, oats, etc), 25% Legume (peas, chickpeas, alfalfa), 25% oil seeds (flax, hemp seed, canola) and 25 % fallow with cover crop. A number of innovative practices are being tested continuously to get closer to notill or minimum tilling using cover crops, interseeding multiple crops together and relay seeding crops together. The purpose of this project is to help address a current bottleneck in the organic marketplace: which is a lack of organic grain processing infrastructure. Goals include: 1) strengthening and expanding farm capacity 2) Providing grain cleaning services to other organic growers, and 3) increasing access to organic grains. The purchase of this equipment will allow Schmitt’s Farm to increase its annual gross income, increase storage capacity by 13,500 bushels, decrease annual miles traveled by 60,000 miles per year, and increase processing capacity of organic grains by 800,000 bushels per year. The main equipment beneficiaries will include Schmitt Organic Farms and other farms in the region that will now have local or more regionalized access to organic grain processing. This will have a trickle-down effect leading to greater access to organic grain throughout the entire North west region. This will also positively impact buyers as 3 Schmitt’s Farm will be able to more reliably provide them with products. In turn, consumers, bakeries, and restaurants will also have greater access to organic grains.","Schmitt’s Farm has initiated a project focused on addressing a critical need within the organic marketplace: the lack of sufficient grain processing infrastructure. This project involves the purchase of equipment designed to strengthen and expand farm capacity, providing grain cleaning services to other organic growers, and increasing access to organic grains throughout the Northwest region. Specifically, the investment will result in a significant increase in processing capacity – 800,000 bushels per year – alongside expanded storage capabilities, adding 13,500 bushels. Furthermore, the equipment will reduce annual miles traveled by 60,000 miles, representing a substantial logistical improvement. The primary beneficiaries of this initiative include Schmitt’s Farm and other regional organic growers, processors, and ultimately, consumers who will gain more reliable access to organic grains. This project anticipates a positive ripple effect, allowing Schmitt’s Farm to more consistently supply buyers with high-quality organic grains, benefiting farmers, ranchers, and other stakeholders in the organic supply chain. The anticipated outcomes will contribute to enhanced market access for organic grains, supporting the growth of the organic sector and improving the supply of this commodity to a broader range of consumers and businesses, such as bakeries and restaurants."
Venture Milk LLC,950000.0,"This project increases output and lowers the costs of a small organic dairy processing plant serving underserved producers in economically distressed areas. By supporting a full-time sales position, it expands market access both for existing organic dairy producers and for dairy producers transitioning to organic. It does this through co-packing, two processor-affiliated brands, and other marketing channels it has developed and will continue to expand. Plant upgrades include adding packaging options optimized for food service and food product manufacturers that represent over a third of the national demand for dairy products. The desire central outcome of these activities is to develop product market matches that successfully generate sustained income for organic dairy producers by meeting the needs of existing sales outlets more efficiently and completely.","This project aims to substantially increase output and reduce costs within a small organic dairy processing plant, specifically designed to support farmers and processors in economically distressed areas. The core of this initiative involves the creation of a full-time sales position, significantly expanding market access for both existing organic dairy producers and those transitioning to organic certification, through co-packing operations and the development of two processor-affiliated brands. Furthermore, the plant will undergo upgrades, notably the addition of packaging options optimized for food service and food product manufacturers, representing over a third of the national demand for dairy products. The anticipated outcome of these activities is the successful development of product market matches that will reliably generate sustained income for organic dairy producers by more efficiently and completely fulfilling the needs of established sales outlets. This project will support farmers and processors, ultimately benefiting consumers who seek organic dairy products. The enhanced capacity of the plant and expanded market reach will allow for greater volume production, reducing operational costs and improving profitability for the involved stakeholders. This project seeks to create a stronger, more resilient organic dairy supply chain, addressing a critical need for expanded market pathways for organic agricultural commodities."
Agoge Life Inc.,2054000.0,"Agoge, a sustainable organic product-focused company, has spent 2 years and significant funds researching developing a foundational set of products with organic ingredients to support improved health outcomes. The ingredients in its products are isolated hempseed proteins, certified Organic by the USDA. In short, Agoge is introducing the USA’s first Organic Hemp Protein Isolate (OHPI). The project aims to open the OHPI market and drive the expansion of the upstream (supply) and downstream (demand) supply chain for this organic, sustainable rotational crop through education, marketing, and consumer buyer outreach. The objectives include: 1) Opening the OHPI market by providing the food ingredient sector with the USA’s very first Organic Hemp Protein Isolate products a deeply researched foundational ingredient and its first 3 formulated finished goods. 2) Targeting and educating 8,000 consumers a month using traditional and digital marketing campaigns through education events targeting dietitians, nutritionists, doctors, etc., and 3) Hosting a 20x20 exhibitor booth at 10 of the USA’s biggest ingredient and food conferences. The project will include OHPI industry connector events twice a year for 2 years across 4 different cities.","Agoge is undertaking a project to establish and expand the market for the USA’s first Organic Hemp Protein Isolate (OHPI), a product developed after two years of research and significant investment. The core of this initiative involves the creation of a foundational set of products, beginning with the OHPI itself and three formulated finished goods, all utilizing certified organic hempseed proteins. This project anticipates driving expansion throughout the supply chain, encompassing farmers cultivating rotational crops, processors involved in manufacturing, and consumers seeking organic ingredients. A key objective is to reach 8,000 consumers monthly through targeted marketing campaigns, including education events directed toward dietitians, nutritionists, and medical professionals, alongside the establishment of a substantial presence at ten major ingredient and food conferences, each hosting a 20x20 exhibitor booth. Furthermore, Agoge will host twice-yearly industry connector events across four different cities over a two-year period, fostering connections between stakeholders. The project aims to solidify OHPI’s position as a readily available organic ingredient within the food sector, ultimately benefiting both the farmers supplying the raw materials and the consumers seeking high-quality, organic products. The anticipated outcome is a significantly broadened market for this novel organic ingredient, supported by a robust network of supply chain partners."
"TIDAL FOODS, INC.",660970.21,"This project paves the way to making regenerative kelp farming a viable industry for rural seaside farming communities that rely on volatile wild-caught seafood. Historically, kelp farming within the US has not been considered a lucrative industry because of perceived competition from Asian markets and a lack of profitable end markets for US-grown kelp products. As a result, 95% of seaweed products sold in the US are imported from Asia. Consumers are already proving they are ready for kelp-based snacks, so now is the time to invest in scaling up the kelp industry, spurring demand for more kelp farmers to grow a regenerative and ocean-friendly crop. The major limitation for kelp farmers is a lack of processing and product manufacturing capacity to transform kelp into high-value products. By providing a profitable end market for kelp 12 Tides solves this issue. This project scales up the production of a highly sought-after product line that provides high quality, consistent revenue to rural kelp farmers. Kelp is easy to grow, produces low CO2-equivalent emissions than corn, and can be reliably harvested year after year while mitigating ocean acidification and increasing marine biodiversity. This provides economic stability for farmers in communities historically reliant on increasingly volatile seafood industries as well as a healthy snack product for consumers. This grant allows 12 Tides to scale its processing capacity, support a nationwide launch, and expand the supply chain by purchasing from 27 new organic farms, while employing 144 staff, and supporting 275 kelp farming jobs in the U.S.","12 Tides is undertaking a project to establish a viable industry for regenerative kelp farming within rural seaside farming communities reliant on volatile wild-caught seafood. The core purpose of this initiative is to scale up the production of a highly sought-after product line, providing high-quality, consistent revenue streams to these farmers. Specifically, the project involves purchasing and building processing and manufacturing capacity to transform kelp into valuable products, addressing a key limitation within the current industry. This expansion will support a nationwide launch and enable the acquisition of kelp from 27 new organic farms, resulting in the employment of 144 staff and the support of 275 kelp farming jobs across the United States. The anticipated outcome is the creation of a stable and reliable market for kelp, bolstering economic stability for these farming communities. Ultimately, the project will benefit both farmers and consumers by offering a healthy snack product. These stakeholders will gain access to a domestically produced product, while the project supports the expansion of kelp farming operations. This represents a significant step in developing a sustainable and profitable agricultural sector reliant on a naturally regenerative crop."
Heal the Earth,2473795.0,"Heal the Earth at Wild Acres Farm, a San Diego County nonprofit and avocado farm, will improve and grow the long-term viability of the domestic organic avocado market by coordinating a direct to consumer valuechain and launching a comprehensive regional marketing campaign. This project will facilitate the flow of avocados into regional markets by leveraging the expertise of, and building on the work done in partnership with, the Avocado Growers of California, the City of Escondido, and other stakeholders. Collaborative efforts will include marketing and outreach to buyers and consumers, promoting opportunities to sell and buy US-grown avocados at a local food hub, a feasibility study, and resulting strategic promotional efforts tailored to the needs of domestic organic avocado growers and US consumers. Heal the Earth will expand staff capacity, build and maintain relationships with certified organic growers, establish new and expanded markets for organic avocados, and develop and execute a marketing plan that differentiates the organic, US-grown product to both buyers and end consumers. Heal the Earth will 1) build relationships between organic avocado producers and consumers, 2) create alternative market channels for organic avocados and ancillary organic farm products, 3) increase consumer awareness of the benefits of locally-grown, 7 California-produced avocados. There is a growing demand for avocados, and organic fruit both supports local farmers and climate-smart growing practices.","Heal the Earth at Wild Acres Farm is undertaking a project to improve and grow the long-term viability of the domestic organic avocado market by coordinating a direct-to-consumer value chain and launching a comprehensive regional marketing campaign. This initiative will facilitate the flow of avocados into regional markets through collaborative efforts with key stakeholders, including the Avocado Growers of California, the City of Escondido, and other relevant parties. The project will focus on building relationships between organic avocado producers and consumers, creating alternative market channels for organic avocados and ancillary organic farm products, and increasing consumer awareness of the benefits of locally-grown California-produced avocados. Specifically, Heal the Earth will expand staff capacity, build and maintain relationships with certified organic growers, and develop and execute a marketing plan to differentiate the organic, US-grown product to both buyers and end consumers. The anticipated outcomes include the establishment of a local food hub for the sale and purchase of organic avocados, and the creation of new and expanded markets for organic avocados. The primary beneficiaries of this project will be farmers, processors, and other stakeholders involved in the avocado industry. The project will support the growth of the domestic organic avocado market, and the increased availability of locally-sourced organic agricultural products. Ultimately, this project aims to strengthen the avocado industry and provide enhanced market opportunities for organic avocado growers."
"Wehah Farm, Inc dba Lundberg Family Farms",3000000.0,"In 2022, US farmers produced more than 16 billion pounds of rice to serve domestic and international consumers (USDA Economic Research Service). Still, less than 1% of the rice produced in the United States is organic, despite strong and consistent growth in US demand for organic food. With more than 82% of US households buying organic products regularly, the Organic Center notes demand in the US for organic rice exceeds domestic supply, encouraging significant competition from imports. In fact, US imports of rice have steadily increased over the past five years, growing more than 36% from the 2017/2018 crop year to the 2021/2022 crop year. This is primarily due to the major barriers that exist to producing, processing, and marketing organic rice, namely higher costs of production, and lack of processing and marketing infrastructure. To meet current US consumer demand and expand opportunities to build the US organic rice 8 market (project purpose), Lundberg Family Farms, the nation’s largest organic rice producer and processor, will launch a comprehensive effort to support current and transitioning organic producers in increasing organic rice production. Project activities toward removing barriers to entry for producers include grower outreach and technology adaptation expanding processing capacity to create more and better markets for organic producers and executing marketing and promotional activities that will help to build commercial markets for US organic rice products. This project’s goals (deliverables and expected outcomes) include achieving 3,000 new acres of organic rice processing and a $17 million increase in domestic regenerative organic rice sales by the end of the project period.","Lundberg Family Farms will launch a comprehensive project to support the growth of organic rice production within the United States, driven by the significant and sustained demand for organic food among US consumers. This initiative will focus on removing barriers to entry for farmers seeking to produce organic rice, encompassing grower outreach and the adaptation of technological advancements to improve production methods. A key component of the project involves expanding processing capacity to create increased and improved markets for organic rice producers, alongside the execution of targeted marketing and promotional activities designed to build commercial markets for US organic rice products. The anticipated outcomes of this project include achieving 3,000 new acres dedicated to organic rice processing, ultimately leading to a $17 million increase in domestic sales of regenerative organic rice. This effort will directly benefit farmers and rice processors by establishing new commercial pathways for their products, and consequently provide consumers with greater access to domestically produced organic rice. The success of this project will strengthen the overall organic rice supply chain and contribute to meeting the growing demand for this product within the United States."
ZEGO LLC,3000000.0,"ZEGO is a woman-owned B Corp-certified brand focusing on supply-chain transparency and purity testing using Montana Gluten Free’s hull-less, high-protein, organic oats. ZEGO sells products in 1500+ stores nationwide. The project will increase processing and consumption of organic, gluten-free, high-protein oats and rotational crop millet in Montana and the surrounding growing region by creating a collaborative integrated value chain (CVIC). The goals are to 1) expand organic processing capacity at Montana Gluten Free (MGF) to alleviate a regional grain processing bottleneck that forces farmers to sell premium crops for bird and animal feed at 50% of full value; 2) develop more products from organic specialty grains for people with medically restricted diets due to allergies or gluten intolerance, toxin and pesticide concerns, or diabetes or to increase dietary plant protein; 3) increase special-diet consumer pull (demand) of organic grains by expanding product trials, adding sales channels, building consumer trust in organic food; and 4) benefit the environment by decreasing transportation miles and promotion of hulless oats, which produce 50% less carbon emissions, and drought-tolerant millet, which uses 1/3rd less water than other grains. In addition to the project goals Zego predicts that the project will 1) increase organic finished goods capacity 5 by integrating operations at MGF with faster and more efficient equipment for bag filling and improved processing efficiency; 2) upgrade food safety certification level; 3) establish a millet value chain by purchasing and installing equipment to dehull millet. It will also help setting up procurement contracts with regional farmer and developing 3-5 new organic specialty grain products, in collaboration with Snacktivist, targeting markets such as food service accounts and big box stores, and build B2B ingredient sales. The project will allow for the implementation of marketing strategies led by a specialized marketing director to increase awareness and adoption of organic specialty grains among special-diet and non-toxic living consumers; and collaborate with technology partner Food Vision to enhance ZEGO’s purity transparency system, making product information accessible and expanding the scope of information to include links to farmers.","ZEGO’s project aims to increase the processing and consumption of organic, gluten-free, high-protein oats and rotational crop millet in Montana and the surrounding growing region by establishing a collaborative integrated value chain (CVIC). This initiative will address a regional grain processing bottleneck, currently forcing farmers to sell premium crops for bird and animal feed at reduced values, and simultaneously develop new organic specialty grain products for consumers with medically restricted diets due to allergies, intolerances, or specific health concerns, such as diabetes. The project will encompass the purchase and installation of equipment to dehull millet, alongside upgrades to processing efficiency through faster bag filling and improved operational workflows at Montana Gluten Free (MGF). Anticipated outcomes include an increase in organic finished goods capacity, a higher level of food safety certification, and the creation of a robust millet value chain. Stakeholders, including farmers, processors, and consumers, will benefit from enhanced market access for organic grains and increased availability of specialty dietary products. Furthermore, the project will support the development of 3-5 new organic specialty grain products in collaboration with Snacktivist, targeting food service accounts and big box stores, and facilitating B2B ingredient sales. The initiative will leverage technology through Food Vision to improve ZEGO’s purity transparency system, expanding product information to include links to farmers. This project anticipates a reduction in transportation miles and the promotion of hulless oats, which generate 50% less carbon emissions, and drought-tolerant millet, which utilizes 1/3rd less water than other grains, ultimately benefiting both the environment and ZEGO’s operational efficiency."
Vista Livestock Co. dba Burroughs Family Orchards,1166250.0,"Burroughs Family Orchards (BFO) is a certified organic and regenerative family farm committed to fostering a sustainable food system. This project is designed to increase consumption of BFO's organic almond and olive products, drive market interest, and meet the growing demand for high-quality organic products. BFO plans to broaden its market reach by expanding into new geographic regions, specifically in the Central and Southern U.S. territories. This strategic expansion will be facilitated through hiring a marketing contractor and a broker, who will work to increase the visibility and availability of BFO's organic almond and olive products. Additionally, BFO will invest in developing new and improved organic products, partnering with experienced consultants to expand their product range and drive market interest and demand for organic products. To meet the growing demand for organic almonds, BFO plans to enhance its storage and distribution capacity by investing in temperature and weatherproofing its existing warehouse storage space to ensure optimal freshness and shelf life of their products year-round. These enhancements will enable BFO to scale its operations in tandem with the rising demand for organic almonds. The project is expected to significantly improve BFO's ability to compete in the organic sector. It will advance their mission of promoting a sustainable food system, contributing to the growth of the organic market, and delivering high-quality, innovative almond and olive products to consumers across the nation.","Burroughs Family Orchards is undertaking a strategic project designed to significantly increase the consumption of its certified organic almond and olive products, driving market interest, and meeting the growing consumer demand for high-quality organic offerings across the nation. This initiative will involve several key elements, including the engagement of a marketing contractor and a broker to expand the visibility and availability of BFO’s products, alongside a substantial investment in developing new and improved organic product lines through collaboration with experienced consultants. To support this growth, Burroughs Family Orchards plans to enhance its storage and distribution capacity by implementing temperature and weatherproofing measures within its existing warehouse, ensuring year-round optimal freshness and shelf life of its almond products. The anticipated outcome of this project is a considerable improvement in BFO’s competitive position within the organic sector, directly benefiting farmers, processors, and other stakeholders involved in the supply chain. Ultimately, this project aims to deliver high-quality, innovative almond and olive products to consumers nationwide, fostering broader market access for these organic commodities. By scaling operations to meet rising demand, Burroughs Family Orchards intends to solidify its role as a key contributor to the organic market, positively impacting the businesses of farmers and processors and providing consumers with a premium product choice."
Rock Front Ranch LLC,89180.0,"The Rock Front Ranch’s (RFR) project goal is to increase market access to organic products by improving the efficiency of transporting organic fruit to organic minded consumers and generating employment opportunities in a community with persistent poverty. Rock Front Ranch (RFR) has provided organic jujube fruit to 29 Whole Foods in Southern California since 2017. Recently, the ranch has endeavored to serve Whole Foods and other organic stores in the Northern California region. Those efforts have been curtailed by lack of sufficient transportation capabilities and the prohibitive expense of contracting for 3rd party delivery. The addition of two delivery trailers would allow RFR to provide both fresh and dried organic jujube fruit to the entire network of Whole Foods in Northern California, an additional 39 stores, as well as other organic stores. Two trailers will provide the capacity to deliver fresh and dried organic jujube fruit to both Northern and Southern California markets simultaneously, increasing efficiency as well as creating two 4 to-four new employment opportunities for residents of the Cuyama Valley, a community with persistent poverty.","The Rock Front Ranch’s (RFR) project aims to enhance market access for organic jujube fruit, a key component of its operations since 2017, by improving transportation efficiency and generating employment opportunities within the Cuyama Valley community. This project will involve the acquisition of two specialized delivery trailers designed to facilitate the simultaneous distribution of both fresh and dried organic jujube fruit to a broader network of retail outlets. Specifically, RFR intends to serve an additional 39 Whole Foods stores located throughout Northern California, alongside its existing 29 partners in Southern California, as well as numerous other organic stores. The anticipated outcome is a significant expansion of market reach for RFR’s product, directly benefiting farmers and processors involved in the jujube supply chain. The project will create two new, full-time employment positions for residents of the Cuyama Valley, addressing the community’s persistent economic challenges. RFR’s expanded operations will provide a reliable supply of organic jujubes to retailers and consumers seeking this fruit, increasing the availability of domestically produced organic agricultural commodities. The success of this project will be measured by the volume of jujube fruit delivered to market and the number of new jobs created, ultimately supporting the economic viability of the ranch and contributing to the prosperity of the Cuyama Valley community."
